Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race,Cluster
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Car,No,Male,Hispanic,3
Unknown,Vehicle,vehicle,Not fleeing,No,Female,Hispanic,0
No,Allegedly Armed,gun,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Vehicle,vehicle,Not fleeing,No,Male,Black,0
No,Allegedly Armed,knife,Not fleeing,No,Female,White,0
No,Unarmed/Did Not Have an Actual Weapon,others,Car,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
Unknown,Vehicle,vehicle,Car,No,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Foot,Yes,Male,Black,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race,0
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Asian,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Foot,No,Male,Black,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black,1
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
Unknown,Allegedly Armed,knife,Not fleeing,Yes,Male,White,0
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,White,0
Unknown,Vehicle,vehicle,Not fleeing,No,Male,Black,0
No,Vehicle,vehicle,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Foot,Yes,Male,White,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic,0
No,Allegedly Armed,gun,Foot,No,Male,Hispanic,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White,1
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black,0
Unknown,Unclear,others,Not fleeing,Yes,Male,White,0
No,Vehicle,vehicle,Not fleeing,No,Male,White,0
No,Allegedly Armed,gun,Car,No,Male,White,0
No,Allegedly Armed,gun,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Foot,Yes,Male,Black,0
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Black,1
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Unknown,Vehicle,others,Inputed NF,Inputed No,Male,White,2
Drug or alcohol use,Allegedly Armed,knife,Not fleeing,No,Male,White,0
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,Yes,Female,White,3
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black,0
No,Allegedly Armed,gun,Car,No,Male,Hispanic,0
No,Allegedly Armed,gun,Not fleeing,No,Male,White,0
No,Allegedly Armed,others,Not fleeing,No,Male,Hispanic,0
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White,1
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Hispanic,0
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,No,Male,White,0
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Asian,1
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Drug or alcohol use,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Female,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Unknown,Vehicle,others,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Black,3
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Vehicle,vehicle,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,White,3
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Native American,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
No,Unclear,others,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Native American,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,Hispanic,3
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Vehicle,vehicle,Inputed NF,Inputed No,Female,Hispanic,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Female,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Yes,Male,White,3
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Asian,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White,3
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Native American,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,White,3
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Drug or alcohol use,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Female,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Black,3
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Female,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,Black,3
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Female,White,2
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Hispanic,3
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Hispanic,3
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Asian,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Female,White,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,Black,3
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Asian,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Female,Black,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Asian,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
Drug or alcohol use,Allegedly Armed,gun,Inputed NF,Inputed No,Female,Native American,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
No,Vehicle,others,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Drug or alcohol use,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Black,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Drug or alcohol use,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Yes,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
Drug or alcohol use,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Black,2
Drug or alcohol use,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Yes,Vehicle,vehicle,Inputed NF,Inputed No,Male,Asian,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
Yes,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,Pacific Islander,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
No,Vehicle,others,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,Black,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Female,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Unknown race,2
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race,2
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black,3
No,Vehicle,others,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Drug or alcohol use,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Inputed No,Male,Black,3
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,Hispanic,2
No,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Female,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White,3
Unknown,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Asian,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race,2
Yes,Unclear,undetermined,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
Unknown,Unclear,undetermined,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,White,2
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic,3
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black,2
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Black,2
Yes,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black,2
